;from_user_description;Party
;RN, MSc, ICU Nurse💉 @HospitaldelMar, @HospitalSantPau🏥  Interested in #ECMO #CRRT #TRCC #VascularAcces #PICC  #HorrorMovieAddict 🎃#GandiaShore📺 #ESC🇪🇺;RN
;Sympathisante RN Passionnée d’histoire de France 🇫🇷;RN
;Med G _ Try always look the right side of life _ sur pause_ La vie c’est comme une bicyclette, il faut avancer pour ne pas perdre l'équilibre AEinstein _ MVT✊EM;LREM
;Ensemble avec Emmanuel Macron • 🇪🇺 #Renaissance • 🇫🇷 #NousRéussirons • #Macron2022 • 💉;LREM
;''Nous devons nous élever de toutes nos forces et inlassablement contre les envahissements de ttes les barbaries.'' Péguy  #RN faute de mieux #Zemmour #Identité;RN
;Fière d'être française.  vive la France . pro RN 🇫🇷🇫🇷🇫🇷  #PatriotesRN2022;RN
;Résistance à la dictature du giflé - Soutien au personnel soignant - Hauts de France. #RN  #gayfriendly🌈   #antiLGBT   #Israël;RN
;. Picardie .Bourgogne . mili 15ans.routier  cause animale.RN 🔥 ✝️🇫🇷🐖🐽🖕#teampatriotes;RN
;Les député-e-s communistes à l'Assemblée nationale (membres du groupe GDR) #DirectAN #PCF;PCF
;Conseillère régionale d' #Occitanie #Gard #RN - Cheffe d'entreprise;RN
;🇫🇷PATRIOTE RN! 🇫🇷MARRE DE CETTE DICTATURE !JAMBON BEURRE, j’adore les animaux! pas content suivez pas ! pour👉 👉👇👇👇👇;RN
;Anti extrêmes et violences. Attaché à la valeur travail. Social et libéral. Modéré et mesuré mais très provoc Européen 🇫🇷🇪🇺 #LREM.;LREM
;50 Ans moitié nationaliste moitié anar, Jean-Marie LePen/Soral/Dieudo, anti Franc-Mac, non racialiste. Personne ne me confinera jamais!;RN
;Compte citoyen de soutien à @MLP_officiel Jeune Patriote 🇫🇷 #marinelepen #patriote #rn #france #politique #soutien #presidentielles2022;RN
;L’enfer est pavé de bonnes intentions. 🇫🇷 RN, ✝️ catholique, anti GPA, non au Pass sanitaire;RN
;responsable canton 2 Chatellerault 1 responsable adhésions et circonscription 2 Rn 86;RN
;Député RN du Pas-de-Calais | Conseiller spécial de @MLP_officiel;RN
;soutiens de #Hollande, suit #CLUBD12 pr la réussite de la #France avec une force de gauche sociale et démocrate #FH2022 #BC2022 #europe #international #economie;PS
;PCF, comédienne, chanteuse,  voix -off,    affreusement féministe mère d'un  jeune rugbyman;PCF
;Patriote et Républicain je vote RN;RN
;Secrétaire RN 3è & 4è arr de Paris Candidat aux élections législatives(2012,2017),municipales(2014,2020),cantonales dans le LOT(2015) régionales en IDF(2015).;RN
;Élue Conseillère Régionale Bourgogne Franche-Comté-Jura Groupe Rassemblement National;RN
;Conseiller Régional RN Occitanie - Conseiller municipal et Communautaire Albi -;RN
;aime la vie le vin et la galette saucisse   soutiens au président de la république  ne supporte pas ni LFI ni RN ni G.J ni CGTISTE ni EELV ni AMISH.;LREM
;Patriote 🇨🇵 #amoureusedesanimaux 🐈 🐕 🐎  Pas raciste mais réfractaire à une certaine religion de paix et d'amour 😋.Adhérente RN;RN
;🇫🇷 #TeamPatriotes 🇫🇷 Adhérent #RN 🇫🇷;RN
;Militant du Parti de Gauche, de la France insoumise co-animateur groupe d'action La France insoumise, Nogent-sur-Marne;LFI
;Patriote.#Marine2022 🇫🇷 Adhérent - Militant RN 🇫🇷   suivi par @MLP_officiel  @Sebchenu Sur  Telegram @migui87 Sur Parler Michel87 @migui87 Sur Gab Michel87;RN
;Millitant RN politicien secteur privé 🇨🇵👌❤;RN
;Compte de secours de jmg 162. Patriote RN, 🇫🇷 , retraite cadre fonction public, capitaine nav 200;RN
;Conseillère Régionale RN de Bretagne @GillesPennelle @RNational_off;RN
;Militante PS, B F, Conseil Fédéral PS64,  à D.A Planete Ségolène Royal Foundation ONG ainsi qu'à DESIRS de FRANCE et Supportrice de L'Elan Béarnais;PS
;Dieu se rit des hommes qui déplorent les effets, dont ils chérissent les causes. (J B Bossuet) #RN #Poutine #Salvini #Trump #Laïcité #LibertéDExpression;RN
;Compte officiel de la #TeamPatriotes🇫🇷 #Orbán🇭🇺 #Salvini🇮🇹 #Duda🇵🇱 #Trump🇺🇲 #Poutine🇷🇺 #RN🇫🇷 #JambonBeurre🇫🇷 #INFOPATRIOTES🇫🇷;RN
;Diplomé de l'ecole de commerce de Clermont-Ferrand Master en Management spécialité Ressources Humaines, En marche avec Macron pour la présidentielle;LREM
;Le bonheur est dans le pré ! Surtout lorsqu'on y fait des galipettes et qu'on parle de révolution.  RN, LREM, passez votre chemin, je soutiens Mélenchon ! 🔻;LFI
;Il n'y a plus désormais que deux partis en France, la France de toujours et ceux qui seront détruits pour avoir tenté de la détruire (Camus). RN/MND/GI/Arpac;RN
;Youtubeur Normand de Souches, soutient RN et Génération Identitaire. #Marine2022 #JambonBeurre #TeamPatriotes #WhiteLivesMatter;RN
;#RN Normandie #jambonbeurre #teampatriotes;RN
;Camille de la Fontaine . Marine le Pen sera présidente 🇮🇹🇲🇦;RN
;J'ai voté, tu es le bienvenu si toi aussi, sinon, ferme bien ta gueule. #RN depuis 40 ans, #MLP2022.;RN
;Ni Dieu ni maître telle est ma devise. Gaulliste. #RN. #UnionDesDroites. La France 🇫🇷 est mon pays. Compte suspendu @Godefroy_62.;RN
;Patriote dans l'âme !🇫🇷 La France rien que la France. #RN.;RN
;Bonjour moi c'est Clyde l'un et l'autre pour notre pays la France 🇫🇷 et notre culture chrétienne ! #RN #UnionDesDroites.;RN
;🇫🇷✝️✌️je retrouve mes idées et convictions au RN et j'en suis fière, c'est mon choix,!!! ANTI GAUCHI ASSE ET ISLAM, !!!✌️🇫🇷✝️je bloque les merdes,!!!;RN
;#NoTeam / #MLP2022 / #FrancaisReveillezVous / #JeVoteRN / https://adhesions-rn.fr /;RN
;Marié en 68, 3 garçons, 7 petits enfants, retraité à 65 ans après 48 ans de travail sans interruption, épicurien, résolument RN, MLP Présidente en 2022.;RN
;Députée 🇫🇷Commission Défense🇫🇷#PyrénéesOrientales / Conseillère Municipale & Communautaire #Perpignan RN / Cadre Supérieur de Santé;RN
;😼👨‍🦽☕🇲🇫 Pro/LFI-EELV-RN/Amateurs d’écriture inclusive, wokisme & cancel culture/Antivax, vous vous êtes égarés en venant lá.;LFI
;Aménager décorer tennis jardinage . # En Marche ! pour transformer la France et  l'Europe pour nos jeunes !#STOP GILETS JAUNES #anti FN/RN. SOUTIEN AUX FDO;LREM
;Ingénieur de Systèmes Aéroportés, DESS électronique, UVs  de Droit, Aides Humanitaires en Asie, recherches Historiques, RN TALENCE.;RN
;Adhérente et militante du RN🇫🇷,Italophile🇮🇹, Diplômée en master de droit européen et international. Diplômée d’Ecole de Commerce;RN
;Je fais des amalgames nauséabonds entre islam, islamisme, consanguinité, criminalité, violence et racisme anti blanc / juif / noir / jaune ... #RN;RN
;Conseiller régional d’Île-de-France • Porte-parole du RN • Journaliste • Ancien maire adjoint du Plessis-Trévise | Avec @MLP_officiel et @J_Bardella;RN
;stop à la maltraitance des enfants , il faut combattre la haine , stop au laxisme dans les zones de non droit #Rn🥰 l’ #Occitanie #Garraud2021 #JeVoteGarraud;RN
;L'ombre de Kris Le Géant maigre Pour Tous ce qui est contre,et Contre tous ce qui est pour ! punk toute ma jeunesse #OnArrive #MLP #RN #JordanBardella;RN
;Adjointe à la maire du 12e arrondissement de Paris en charge de la jeunesse et de la vie étudiante @EluesPCFParis Militante #PCF #Paris12;PCF
;Un cœur patriote de 26 ans, un esprit libre et souverainiste, un combattant des valeurs françaises. Adhérent RN. Suivi par @MLP_officiel.;RN
;Le pouvoir au peuple / L'#Écologie est vitale / #Laïque convaincu / #M6R / #RIC / Médias=corrompus / #49al3=Dictature / #AntiRN / Soutien #Melenchon 2022;LFI
;l'équipe militante du RN à #Toulon, capitale du Var;RN
;Ancien Secretaire de Section PS de Chennevières sur Marne, Militant pour une réelle démocratie en Afrique Centrale;PS
;Fier d’être 100% français | 🇫🇷#Patriote, catholique | Pour une vie libre, prospère et sûre | @MLP_officiel @RNational_off ⚤🚴‍♂️🏋️🚭#RN #RN78;RN
;ID✊~ Droite | 🇲🇫Instagram : enzo.damis.568 Adhérent @RNational_off ✨@MLP_officiel / #MLP2022 #RN 📊 #Legislative2027 •Somme 80• Francais Réveillez Vous 🇨🇵;RN
;Tous avec Marine Le Pen en 2022 ! 🗳🇫🇷;RN
;https://t.co/g1HneUGGqQ…  ***  https://t.co/mDM5zWE3iF *** France je vote Marine le Pen  Facebook Pinterest Linkedin  comptes supprimés ? I LOVE TRUMP;RN
;FRANCE JE VOTE MARINE LE PEN FACEBOOK SUPPRIME DES COMPTES AVANT L'ÉLECTION PRÉSIDENTIELLE OBLIGE PIÈCE D'IDENTITÉ POUR SE RECONNECTER INTERNET ORANGE RALENTIT;RN
;En 2022, ce compte sera la norme. #TeamPatriotes #RN #GenerationIdentitaire;RN
;Responsable RN - Rennes Métropole;RN
;🇫🇷 RN Marine 2022;RN
;Catalan catalaniste pas indépendantiste , Rugby, Presse politique & sportive, anti (LFI, RN, CGT, SUD Rail, GJ et tous les extrêmes) Soutien PR, soutien FDO;LREM
;Marine 2022.Slts!RN(3.R.E.i);RN
;Soutien aux candidats RN pour les régionales. Ma voix compte. La 🇨🇵au coeur Patriote, Identitaire. Chevalier LH et ONM Progressistes bobo et complotistes⛔;RN
;Webmestre @GNation_off et @RNational_92 | Responsable RN du canton de #ThueEtMue;RN
;Professeur des écoles. PCF. Humain avec ses défauts. Naïf. OsezJosé, Mylene Farmer, Saucisson, Michel Serres, Dormesson, Papayoulele, Bernard Friot, Lacroix Riz;PCF
;Génération.s #RefugeesWelcome #Dolphinproject Revue de presse, coup de ❤️ coup de 😡 ou 🤢lutte contre RN et tous les fachos LDH #SleepingGiants;Generation.s
;Homme politique  Candidat pour #LFI aux élections législatives 2017- Seine et Marne - 2 Circonscription https://www.facebook.com/groupeinsoumis772C/;LFI
;#généalogiste #souverainiste #patriote #causeanimale Je vote #RN;RN
;Dirigeant d'une société de surveillance depuis 2008. Suivi par Marine Le Pen et Louis Aliot. @MLP_officiel @louis_aliot @e_ferrand @ydekerdrel #TeamPatriotes;RN
;Patriote 🇨🇵 #amoureusedesanimaux 🐈 🐕 🐎  Pas raciste mais réfractaire à une certaine religion de paix et d'amour 😋.Adhérente RN;RN
;Compte officiel du @MoDem #Alsace présidé par @SylvainWaserman #Solidarité #Mobilisation #Humanisme;MoDem
;Justice fiscale ⚖- Transition écologique 💚 - Bien-être animal 🐱   🤖LREM👽;LREM
;"Ingénieur, Avocat . Créateur/Chef d'Entreprise.  Aviation, Espace, Marine, écologie sauf ""Les Verts""... Je soutiens E. Macron    MAIS    je reste critique.";LREM
;Mariée, mère de 3 enfants. Je soutiens le président Macron, je respecte les institutions et nos forces de l’ordre.;LREM
;#JeSuisVaccinee  2 doses AZ #TenirEnsemble  Soutien #EmmanuelMacron   #LREM  (ex socialiste);LREM
;Actu du député Démocrate @PhilippeMichelK membre de la commission de la défense et de l'AP-OTAN, vice Pdt de @GroupeModem, membre du BP @MoDem;MoDem
;Citoyen du monde 🌍 #BlackLivesMatter ✊#LGBT 🏳️‍🌈 #LoveWins I ❤️#BidenHarris #Macron #Europe #Vegan Il/Lui  J'oublie un truc pour séduire l'algo Twitter ? 😉;LREM
;Mes tweets n’engagent que moi. Soutien Indéfectible de La République En Marche. Européiste 🇪🇺;LREM
;Sénatrice @EELV du Rhône. Membre du groupe @ecologistesenat  Vice-Pdte de la commission des affaires sociales et de la délégation aux droits des femmes @Senat;EELV
;Député européen 🇪🇺🇫🇷 MEP. @RenewEurope @Renaissance_UE @PDE_EDP @MoDem. Membre @EP_Industry 🏭🔬☀️🚀. Passionné d'histoire 📚 et ancien journaliste 🗞;MoDem
;Européens, Écologistes et Démocrates - Président @Auguste_OTT - Jeunes du @MoDem - Europe : @YoungDemsEU📢🇫🇷🇪🇺🏳️‍🌈⚖️♿️♻️🏫🌿;MoDem
;Militant @partisocialiste à @PS75005 🌹 Candidat aux #municipales2020 à #Paris5 avec @ParisEnCommun - ''A toi d'agir, aux autres d'en parler'';PS
;Conseiller municipal RN à Kembs. Secrétaire responsable RN pour le canton de Brunstatt. Ancien officier de réserve. Infirmier anesthésiste DE.;RN
;⚖️ Députée AGIR de #Marseille missionnée sur la #LoiSchiappa | @AN_ComLois | Droits de l’enfant | #ViolencesConjugales | Rapporteure @CoE_fr | #HabitatIndigne;Agir
;Groupes d'Action France Insoumise de Noisy Le Grand. Partager, Comprendre, Échanger, s'Informer, Agir, Être utile http://www.laec.fr;LFI
;Je suis un intellectuel engagé, membre de La République En Marche, à Paris, dans le 10e.;LREM
;Compte #Agir #LaDroiteConstructive     Paris 11ème #JePrefereAgir #AgirParis;Agir
;🇫🇷 Varois | Entrepreneur | Compte perso 🕊🏳️‍🌈 | Ex-LR qui est désormais chez @Agir_officiel;Agir
;Cheffe d'orchestre activiste italienne  Engagé en Politique avec Agir Gironde #humanitaire #equalitygender #droits #culture;Agir
;Région Sud / Varois & Seynois • Entrepreneur • 🇫🇷 Agir;Agir
;Droite constructive de l'Hérault #Agir #Occitanie @JulienMiro @FelixAllary_Mpt @laurentcappelle @adrienstwm;Agir
;cadre informatique , ne supporte pas les extrêmes et les extrémistes,, #agir;Agir
;Agir pour la France.;Agir
;Conseiller municipal de Thiais  Génération Écologie #UrgenceEcologie administrateur CCAS expression libre et personnelle retweet ne veux pas dire adhésion;Generation Ecologie
;Amor LOUHICHI_Citoyen Franco-Tunisien, et Fier de l'être. Ex Secrétaire Général France Nidaa Tounes et amoureux de la Liberté. Ex Secrétaire National UDI.;UDI
;Porte-parole de @Nouvelle_Donne | Soutien Pierre @larrouturou pour la #PrimairePopulaire | Salarié d'une association du handicap;Nouvelle Donne
;Justice sociale et enjeux climatiques. Député européen, Rapporteur général budget 2021 MEP 🇪🇺 Nouvelle Donne, S&DGroup. #Climat #Social;Nouvelle Donne
;"Adhérent Nouvelle Donne ""Chacun de nos gestes témoigne pour toute l'humanité"" Candidat sur la liste Bordeaux Respire !";Nouvelle Donne
;De CASTRES (81) - Pays de Jaurès. Réside à Argelès-sur-mer (66). Maire adjoint PCF de 1995 à 2020. Instagram @Neguebous. Free Palestine. 🇵🇸;PCF
;❤️La France dans l' Europe,Monde❤️Je vais suivre Macron jusqu'en 2022 et 2027❤️Politique et les politiques❤️ Médias❤️ Stop aux populistes EELV ,FI,RN,NPA,PC,...;LREM
;mon pays mon amour🇨🇵❤️✝️⚔️🔫🐕🐈🏉 adhérant #RN #teamPATRIOTES  #jambonbeurre fan de vielles Méca🚜🚛⛔emmerdeurs⛔je bloque   compte de secours @patriotes07;RN
;Adhérent du #SIEL. Islam hors de France ! Je vote #FN pour qu’on ferme enfin les frontières. LREM + LRPS sont responsables de 270 morts. Je défends les animaux.;RN
;Qui n'aime pas ou maltraite les animaux n'aime pas les humains. France Conservatrice. #LREM passez votre chemin. De Droite forte LR. Femme #AntiNéoFemisniste;LR
;Électeur LREM avec désaccords / Électeur Écolo avec scepticisme / Inclusif et suivant les mouvements progressistes et intersectionnels;LREM
;Alain VAUTIER 🚩☭ Le Communisme est la Jeunesse du Monde    La Dignité comme Drapeau   🚩 L'Humain d'abord    PARTI COMMUNISTE FRANÇAIS 🇫🇷 #FabienRoussel;PCF
;Avant j'étais à gauche, mais ça c'était avant. Maintenant, ben Macron parfois, même si ...mais jamais FI ou FN;LREM
;Le Parti Communiste Français, réseau social depuis 1920;PCF
;Conseillère régionale @PCF IDF #Velotaf 🚲 #Education #FinancesPubliquesLocales #Transports;PCF
;#Asnières militant contre l'injustice sociale adhèrent @CGT et du @PCF. Éducateur;PCF
;Déléguée au Maire du 20e en charge de l'économie culturelle, de la vie nocturne et des préemptions des lieux culturels, Conseillère de Paris #Paris20 #PCF @pcf;PCF
;LREM #MACRON 2022 et JOURNALISTE comme Bouhafs !!!;LREM
;Militant PCF - ancien élu de la ville @rouen et de la @MetropoleRouenN;PCF
;Ex-catho, vrai coco @_MJCF @PCF ☭;PCF
;Secrétaire général du groupe @senateurscrce  #PCF;PCF
;Allez on avance!  #pcf #popoooop;PCF
;Compte officiel du groupe Communiste Républicain Citoyen et Ecologiste au Sénat. #politique #PCF;PCF
;▪️Militant des Jeunes Communistes #JC #PCF ▪️Bénévole maraude à @SecoursPop  @_MJCF ☭;PCF
;Amoureux d’#Aubervilliers. Conseiller municipal d’opposition. #PCF L’inaccompli bourdonne d’essentiel (René Char);PCF
;Bienvenue dans le  Groupe PCF Lyon 9 ouvert aux militants, sympathisants et à tous ceux qui voient l'Humain d'abord.;PCF
;Parti Communiste Français parce que c'est le meilleur!!!!!;PCF
;MCF @Univ_Artois. Littérature et politique (au 17e s. et ailleurs). Fêtes de cour. Dirigeante nationale @PCF  Responsable #éducation #esr;PCF
;Député de la 2ème circonscription de la Seine Saint Denis. Pierrefitte, Saint-Denis, Villetaneuse. Militant PCF;PCF
;Vice-président CVL. Étudiant en géographie et aménagement à @sorbonneparis1 (Membre du @PCF) - #AVECROUSSEL #ROUSSEL2022 ☭🔺;PCF
;🔴 Compte de soutien à @Fabien_Roussel ✊🏾✊🏻✊ #Roussel2022  @PCF @_MJCF #LesJeunesAvecRoussel;PCF
;PCF, je ne parle qu'en mon nom .;PCF
;Pour une candidature d'Anne Hidalgo à la présidentielle de 2022. #Hidalgo2022;PS
;Architecte d.p.l.g. - Ex-Elu - Génération.S;Generation.s
;Génération.s,conseillère régionale #AURA ,Avocate,défense salariale, programmée pour défendre les droits et libertés PrayForKurds 💚💛❤️ et j’❤️ la 🇫🇷;Generation.s
;Ancien secrétaire général du SNEPAP-FSU 2013/2017 - #TeamSPIP ⚖️ #Probation #Insertion #Prison #TeamOM Trésorier du Comité Génération.s Vitrolles Etang de Berre;Generation.s
;Corse habitant l'Hérault. Génération.s Militante SOCIAL/ÉCOLOGIE/LIBERTA. Ancienne déléguée du personnel dans le social culturel. Handicap invisible.;Generation.s
;parisienne,catholique ,politique .mon bouledogue , mon chat et les animaux sont mes passions  droite LR. LW. FXB. suivie par @NicolasSarkozy et @MLP matr 1149;LR
;"N.Sarkozy/contre le Hollandisme deguisé,l'usurpateur Macron ""la loi protège la foi tant que la foi ne dit pas la loi"" Aristide Briand ⛔️🍉🟢NOprimaireLR/ ADN";LR
;"Défenseur des animaux. Adhérent #SIEL. Vote #RN. Contre l'islam, secte 2 fois anticonstitutionnelle (inégalité homme / femme ; impossibilité d'en sortir vivant)";RN
;encartée LR intéressée par la politique;LR
;"Trois siècles après «Les Lumières», voilà le siècle des gros beaufs ;) #ToujoursCharlie #TeamMacron #LREM #FBPE #Laïcité";LREM
;De droite et de + en + tentée par Macron.  Vécu 18 ans au UK et 12 ans en Tunisie.  Europhile;LREM
;"👩🏼‍💻 Indépendante, mariée, maman, #Fillon #LR #Wauquiez #Retailleau #Bellamy ""Du fanatisme à la barbarie, il n'y a qu'un pas."" Denis Diderot (1745)";LR
;"«L'avenir nous tourmente, le passé nous retient, c'est pour cela que le présent nous échappe."" Flaubert #je voterai #EM #vaccinée💉💉";LREM
;Former Airline Pilot, flying long haul on A310, A300-600 & B777,  🇫🇷 🇮🇹 🇸🇰 🇬🇧#LR #LW #FXBellamy  #RT n'est pas cautionner ni approuver !;LR
;🙏Tout le bonheur du monde est dans l'inattendu  Responsable logistique #AvecJuvin #tousjuvin #LR💙  @LesRepublicains  #Photographe #Auvergne  #goldenretriever;LR
;Députée européenne. Vice-présidente des Républicains, porte-parole des LR. Prdte de la Fédération LR Paris. Conseillère de Paris #15e https://t.co/4hVQ1ILcZk;LR
;franco-américaine chrétienne mariée 5 garçons pour la famille & l’écologie intégrale #LR 1ère circo Var Déléguée MvtConservateur SUD PACA et Var, #conservatrice;LR
;⁶₆⁷ lr;LR
;"#SoutienEmmanuelMacron #LREM"" « Évitez les gens négatifs, ils ont toujours un problème pour chaque solution. » Albert Einstein #JeNeVotePasRN";LREM
;#LREM Fan de séries TV SRFC  Amoureux de la 🇫🇷 ,de la 🇭🇷  et surtout de ma famille.   #MACRON2022 #PANNIERRUNACHER2027;LREM
;"Juriste de Formation, Fc Nantes au coeur, Pro Macron,  Steve McQueen et Lino Ventura forever, fou de cinéma; fils, frère, oncle-. RT ne veut pas dire soutien.";LREM
;#FBPE #FPHD #FollowBackProEU #Europe #StopBrexit #Miage #Sorbonne #UDI  #LR #NoWarWithIran;LR
;Nous appelons à s’unir à nous tous les Républicains qui ont dans leur cœur l’amour d’un pays dont l’idéal a transformé le monde.;LR
;Je ne veux pas d'abonnés. N'essayez même pas ! Sauf LR ❤️ ou ceux qui brillent par leur intelligence;LR
;Francais, Basque d'Iparralde, ingénieur, chef d'entreprises retraité, ex-adhérent LR, suivi par NS, NM, FF, LS, IB, etc... Chrétien Gaulliste. Féru de français.;LR
;🧗‍♂️ Psychologue, chef d'entreprise retraité, apprécie le prog Fillon aimant la réflexion avant l'action: on raisonne mieux assis qu'En Marche.   LR #LWauquiez;LR
;Ex Élue locale 2001/2014 .Je préfère être une rebelle à une esclave ! Zone bleue 75006 - suivie par @NicolasSarkozy #Wauquiez #LR;LR
;Conseillère Municipale à #Cannes  Team David Lisnard #LR #NouvelleEnergie Ambassadeur #CotedAzurFrance;LR
;"Je ""gazouille"" et informe quand il le faut... À prendre au sérieux. Républicain mais pas LR.";LR
;#LR - #Douaisis - Autorité ET justice sociale - Gaulliste Ancien candidat à l'élection présidentielle Ancien élu régional;LR
;Adhérent LR/Force Républicaine suivi par B.Retailleau,A.Houpert,F.Grosdidier, P.Charon,N.Morano,Y.d'Amécourt,V.Boyer, D.Abad,A.Evren,L.Trochu,W.Thay,G.Platret;LR
;DroiteForte #FF #LR #Wauquiez #BR #DL #liberte #responsabilite #FXB #JA. ⛔M@cr@n;LR
;Chevalier ds ordre des Palmes académiques. Maire adjoint #Asnières. Correspondant défense. Conseiller national #LR et #OLF Porte parole 92 nord #OLF;LR
;#LR   😋🤪 🇫🇷;LR
;Gaulliste #Patriote #JChirac #LR #FFillon #Bellamy. Droite Forte et Unie hors extrémisme.Antifasciste➡️Islamo-allergique.Pro-Israel. @Paris_Dauphine;LR
;Certaines idées ont fait leur temps et détruit la France, debout !!!! #MâleBlanc #jambonbeurre #teampatriote #RN;RN
;Ancien Conseiller Municipal #LR  #SaintAndréLesVergers  Comptable Analytique Cadre dans l'immobilier Investisseur Immobilier #Droite #Gaulliste #Gaullisme;LR
;Compte à objectif politique                        Jeune LR                                            Soucelles 💓;LR
;Député du #HautRhin | Secrétaire Général adjoint @lesRepublicains | Whip LR de la commission des Lois | Conseiller d’#Alsace;LR
;Déléguée Départementale RN de l Indre Conseillère municipale Châteauroux Conseillère régionale CVDL;RN
;"Olivier Autain, Conseiller municipal de la Garenne Colombes ; membre du Mvt Conservateur, l'avenir des LR passera par le conservatisme";LR
;De droite, Adhérente Les Républicains suivie par Nicolas SARKOZY.pour qui j'ai voté en 2007, 2012 et espèrait en 2017.A TOUT JAMAIS MON PRESIDENT.;LR
;Mes tweets reflètent un avis personnel et n'engagent que moi. Adhérent #LR;LR
;LR - ForceRépublicaine, 81 ans, retraité grands chantiers export. La réussite est l’alliance du l’envie  et du vouloir -  Sagesse Liberté et Savoir se protéger;LR
;#LR @laurentwauquiez Ordre-Morale-Rationalité . «Le savoir c’est la force» 💪🏿👊🏿 Vacciné contre l’obscurantisme et l’ignorance.;LR
;Députée #LR de la Troisième Circonscription du #Calvados @republicains_AN • Conseillère Régionale de la #RégionNormandie • Élue de proximité 💪 • NormandieProd;LR
;"Papa, ""ancien"" graphiste, traducteur amateur et surtout nostalgeek! La bannière ? Un hommage à notre über leader #Macron";LREM
;Scénariste, auteur. Conseiller National Les Républicains. Délégué de Ville Les Républicains de Neuilly sur Seine.;LR
;Les Républicains  - NANTES      https://t.co/SUl81ck7I3;LR
;Conseiller National LR Sarthe;LR
;La République En Marche! 13. Compte Officiel du mouvement @enmarchefr pour les #BouchesduRhône avec @EmmanuelMacron;LREM
;Amateur de ciné, de livres, de bonne chère et de bonne chair, la vie quoi... Libre penseur contre la bien-pensance. #Mulhouse #LR  Ami d'#Israël;LR
;Retraité , je voterai pour le Général Pierre De Villiers si il se présente ou RN et plus jamais LR ou blanc, chanteur du Carré Blanc, photographe amateur...;RN
;Pour des idées, des valeurs, des projets et de la convivialité, rejoins les Jeunes LR de #Moselle ! 🤙 RDJ: @LucasGrandjean_ RDJA : @sapciattila;LR
;Économiste de la construction #trading #LR  «Quand la bêtise gouverne, l'intelligence est un délit.» Henry de Montherlant;LR
;Anti: RN-LFI-Burkini-Complotisme-Excision Pro: 5G, Les Républicains 🌞Force & Vigueur🌛 J'ai changé de compte, pas mes combats Je bloque très vite🇨🇵🇩🇿;LR
;Un petit homme du XIX e siècle égaré au XXIe.... 😔 Membre du Comité Exécutif Local et Départemental PCF / Élu CNL au Conseil d'Administration Domitia Habitat.;PCF
;Anti-conformist #PATRIOT against Globalist #Nuremberg2 : I support:  #Geert #Trump #Orban #RN🇫🇷 #PVV 🇳🇱 #MAGA 🇺🇸 ⚜️🎚️#PPC 🇨🇦suivie par @MaximeBernier;RN
;Compte de soutien à la candidature de @davidlisnard à la présidentielle de 2022 #Lisnard2022 #NouvelleEnergie #LR;LR
;Parisienne engagée et passionnée de photos #Sociétécivile   #ObjectifFrance #Droitesociale92 #LR #LR92 #Roller #Natation #velotaf;LR
;Heureux comme Dieu en France (prov. 🇩🇪) Coeur à droite mais déçu par les #LR - Marcheur - Anti #RN et #LFI - bloque ceux qui insultent.;LREM
;@lesRepublicains16 Vous suit : Nous appelons à s'unir à nous tous les Républicains qui ont dans leur cœur l'amour d'un pays dont l'idéal a transformé le monde;LR
;Déléguée Circonscription Les Républicains #SaintNazaire #PaysDeLaLoire  Entrepreneure Manager à #FortissimoFormation;LR
;Adhérente Force Républicaine et LR 🇫🇷🇫🇷🇫🇷🇫🇷.  ne réponds pas aux MP;LR
;Errare humanum est, perseverare diabolicum. 😈 Le silence est d'or... 🤫 #MacronisteAnonyme #MajoriteSilencieuse #FBPE 🇫🇷🇪🇺 [Anti #RN / #FI / #GJ] 🖕;LREM
;Président de lassociation les Amis de l abbé Groult.Aime Paris,ma ville de naissance et Cannes ma ville de détente.En Marche avec Macron depuis le 9 avril 2016.;LREM
;🇨🇵Les Républicains compte de soutien aux réseaux sociaux. 📢 ➡️ @lesrepublicains;LR
;Matricule 4942 Cadre dirigeant, pour encourager la liberté d'#entreprendre, base de notre économie,#running, #les républicains Anti FN,Président d’association;LR
;Retraité de l'industrie phytosanitaire et biochimique,ancien SPV,catholique,tjs voté à droite,SARKOZYSTE,confiance à L.W, FXB pour rebâtir les LR;LR
;#Politique #culture #économie #littérature #trip #Angers #Nantes #bzh #Marketing #distribution #Sarkozy 🇫🇷 militant #LR #républicain;LR
;Républicain , fier de mes opinions. Ex RPR, UMP LR. Anti-droite bête soumise .Vous aimez mes Tweets, abonnez vous!;LR
;De droite,LR avec Sarkozy,Wauquiez,Bellamy. catholique. Mon pays c'est la France. Oui à #StopCovid Non à la #dictaturesanitaire;LR
;Française 🇫🇷 d'origine africaine 🇨🇮 Musulmane, adhérente #LR (de la vraie droite), j'ai soutenu #Fillon hier, aujourd'hui je suis #Wauquiez |  Auditrice RH;LR
;@aunomdelafr @avenir_francais Élu local Ex-LR Coord. Dep. adj. LAF 06. Prof. agrégé Ens Sup Maths retraité. ancien Président CA CL CATP. Co-Président Fond.ANLF;LR
;Adjoint au Maire du 15ème: végétalisation de l'espace public, nature, préservation de la biodiversité et condition animale. Délégué Les Républicains de #paris15;LR
;Militante LR de Paris 15;LR
;Délégué général Défense LR / Vice Président Auvergne-Rhône Alpes / Co-fondateur Droite Populaire / Républicain et Patriote / FRANCE D’ABORD;LR
